
      NO.            	   Temp              	  %RH              	  WB                 	  DP                 	 Heure 
    189          	    -24.2           	       64.8           	      -24.5           	      -28.9           	17-02-22/16:57:24 
    190          	    -24.1           	       65.4           	      -24.4           	      -28.7           	17-02-22/16:57:54 
    191          	    -24.1           	       65.9           	      -24.4           	      -28.6           	17-02-22/16:58:24 
    192          	    -24.0           	       66.5           	      -24.3           	      -28.4           	17-02-22/16:58:54 
    193          	    -24.0           	       67.0           	      -24.3           	      -28.4           	17-02-22/16:59:24 
    194          	    -24.0           	       67.6           	      -24.3           	      -28.3           	17-02-22/16:59:54 
    195          	    -24.0           	       68.1           	      -24.3           	      -28.2           	17-02-22/17:00:24 
    196          	    -23.9           	       68.7           	      -24.2           	      -28.0           	17-02-22/17:00:54 
    197          	    -23.7           	       69.1           	      -24.0           	      -27.7           	17-02-22/17:01:24 
    198          	    -23.8           	       69.5           	      -24.1           	      -27.8           	17-02-22/17:01:54 
    199          	    -23.8           	       70.0           	      -24.1           	      -27.7           	17-02-22/17:02:24 
    200          	    -23.8           	       70.5           	      -24.1           	      -27.6           	17-02-22/17:02:54 
    201          	    -23.7           	       70.9           	      -24.0           	      -27.5           	17-02-22/17:03:24 
    202          	    -23.6           	       71.2           	      -23.9           	      -27.3           	17-02-22/17:03:54 
    203          	    -23.6           	       71.6           	      -23.9           	      -27.3           	17-02-22/17:04:24 
    204          	    -23.5           	       72.0           	      -23.8           	      -27.1           	17-02-22/17:04:54 
    205          	    -23.5           	       72.4           	      -23.8           	      -27.0           	17-02-22/17:05:24 
    206          	    -23.4           	       72.7           	      -23.7           	      -26.9           	17-02-22/17:05:54 
    207          	    -23.4           	       73.0           	      -23.7           	      -26.9           	17-02-22/17:06:24 
    208          	    -23.4           	       73.4           	      -23.7           	      -26.8           	17-02-22/17:06:54 
    209          	    -23.4           	       73.7           	      -23.7           	      -26.8           	17-02-22/17:07:24 
    210          	    -23.3           	       74.0           	      -23.6           	      -26.6           	17-02-22/17:07:54 
    211          	    -23.1           	       74.3           	      -23.4           	      -26.4           	17-02-22/17:08:24 
    212          	    -23.1           	       74.6           	      -23.4           	      -26.3           	17-02-22/17:08:54 
    213          	    -23.2           	       74.8           	      -23.5           	      -26.4           	17-02-22/17:09:24 
    214          	    -23.1           	       75.1           	      -23.4           	      -26.3           	17-02-22/17:09:54 
    215          	    -23.0           	       75.4           	      -23.3           	      -26.1           	17-02-22/17:10:24 
    216          	    -22.9           	       75.6           	      -23.2           	      -26.0           	17-02-22/17:10:54 
    217          	    -22.9           	       75.8           	      -23.2           	      -26.0           	17-02-22/17:11:24 
    218          	    -22.9           	       76.0           	      -23.2           	      -25.9           	17-02-22/17:11:54 
    219          	    -22.8           	       76.2           	      -23.1           	      -25.8           	17-02-22/17:12:24 
    220          	    -22.8           	       76.4           	      -23.1           	      -25.8           	17-02-22/17:12:54 
    221          	    -22.6           	       77.0           	      -22.9           	      -25.5           	17-02-22/17:13:24 
    222          	    -21.6           	       82.2           	      -21.8           	      -23.8           	17-02-22/17:13:54 
    223          	    -20.4           	       87.2           	      -20.6           	      -22.0           	17-02-22/17:14:24 
    224          	    -18.6           	       90.9           	      -18.8           	      -19.7           	17-02-22/17:14:54 
    225          	    -16.1           	       93.2           	      -16.2           	      -16.9           	17-02-22/17:15:24 
    226          	    -13.5           	       94.4           	      -13.6           	      -14.2           	17-02-22/17:15:54 
    227          	    -10.9           	       94.8           	      -11.1           	      -11.6           	17-02-22/17:16:24 
    228          	     -8.6           	       94.7           	       -8.8           	       -9.3           	17-02-22/17:16:54 
    229          	     -6.4           	       94.5           	       -6.6           	       -7.1           	17-02-22/17:17:24 
